,mean,sd,95%_HPDL,95%_HPDU,n.eff,median
b..Intercept..course_id.1106.,-2.65,2.62,-7.63,2.7,30943,-2.67
b..Intercept..course_id.1112.,14.89,3.47,8.12,21.74,37183,14.87
b..Intercept..course_id.1113.,-6.1,3.38,-12.9,0.3,39596,-6.08
b..Intercept..course_id.1116.,12.43,3.44,5.95,19.39,31926,12.42
b..Intercept..course_id.1123.,6.5,2.06,2.43,10.53,24573,6.5
b..Intercept..course_id.1130.,-11.9,3.53,-18.86,-5.01,34484,-11.92
b..Intercept..course_id.1136.,4.72,3.58,-2.19,11.79,35967,4.75
b..Intercept..course_id.1137.,5.98,2.02,1.87,9.82,22376,5.96
b..Intercept..course_id.1138.,-2.33,4.05,-10.37,5.44,42200,-2.31
b..Intercept..course_id.1142.,1.42,3.38,-5.18,8.13,34787,1.4
b..Intercept..course_id.1143.,7.95,2.93,2.18,13.64,35451,7.96
b..Intercept..course_id.1144.,9.17,3.19,2.99,15.39,30505,9.16
b..Intercept..course_id.1145.,15.34,2.73,9.96,20.6,28705,15.31
b..Intercept..course_id.1152.,-1.18,3.46,-8.05,5.59,35366,-1.16
b..Intercept..course_id.1153.,5.36,3.6,-1.68,12.48,38827,5.37
b..Intercept..course_id.1157.,-6.62,2.09,-10.76,-2.6,23134,-6.61
b..Intercept..course_id.1158.,8.55,1,6.62,10.51,7125,8.54
b..Intercept..course_id.1160.,6.44,2.58,1.37,11.48,27100,6.41
b..Intercept..course_id.1172.,-10.26,3.63,-17.61,-3.48,36292,-10.25
b..Intercept..course_id.1173.,-8.75,3.89,-16.16,-0.99,43170,-8.75
b..Intercept..course_id.1178.,-4.72,3.59,-11.71,2.42,39292,-4.74
b..Intercept..course_id.1199.,-8.28,3.49,-14.82,-1.32,40480,-8.27
b..Intercept..course_id.1211.,-1.35,3.55,-8.07,5.75,39675,-1.37
b..Intercept..course_id.1212.,-4.79,3.2,-11.17,1.43,37247,-4.78
b..Intercept..course_id.1219.,-5.01,2.97,-10.9,0.66,31267,-5.03
b..Intercept..course_id.1220.,2.11,2.9,-3.55,7.74,34452,2.09
b..Intercept..course_id.1221.,-6.72,4.08,-14.62,1.35,34538,-6.72
b..Intercept..course_id._NEW_course_id.,0.02,7.29,-14.13,14.19,48287,0.08
sigma,17,0.1,16.79,17.2,48470,16.99
Sigma.course_id..Intercept...Intercept..,54.11,6.55,42.04,67.23,4355,53.63
R.squared,0.23,0.01,0.21,0.24,22311,0.23
